TableId,TableTitle
U20305,"Table 2.3.5U. Personal Consumption Expenditures by Major Type of Product and by Major Function"
U20306,"Table 2.3.6U. Real Personal Consumption Expenditures by Major Type of Product and by Major Function"
U20403,"Table 2.4.3U. Real Personal Consumption Expenditures by Type of Product, Quantity Indexes"
U20404,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product"
U20405,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
U20406,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars"
U30400,"Table 3.4U. Personal Current Tax Receipts"
U30500,"Table 3.5U. Taxes on Production and Imports"
U30600,"Table 3.6U. Contributions for Government Social Insurance"
U30700,"Table 3.7U. Government Current Transfer Receipts"
U30800,"Table 3.8U. Current Surplus of Government Enterprises"
U31200,"Table 3.12U. Government Social Benefits"
U31300,"Table 3.13U. Subsidies"
U32400,"Table 3.24U. Federal Grants-in-Aid to State and Local Governments"
U32500,"Table 3.25U. Compensation of General Government Employees"
U40203,"Table 4.2.3U. Real Exports and Imports of Goods and Services by Type of Product, Quantity Indexes"
U40204,"Table 4.2.4U. Price Indexes for Exports and Imports of Goods and Services by Type of Product"
U40205,"Table 4.2.5U. Exports and Imports of Goods and Services by Type of Product"
U40206,"Table 4.2.6U. Real Exports and Imports of Goods and Services by Type of Product, Chained Dollars"
U4030B,"Table 4.3BU. Relation of Foreign Transactions in the National Income and Product Accounts to the Corresponding Items in the International Transactions Accounts"
U50203,"Table 5.2.3U. Real Gross and Net Domestic Investment by Major Type, Quantity Indexes"
U50205,"Table 5.2.5U. Gross and Net Domestic Investment by Major Type"
U50206,"Table 5.2.6U. Real Gross and Net Domestic Investment by Major Type, Chained Dollars"
U50404,"Table 5.4.4U. Price Indexes for Private Fixed Investment in Structures by Type"
U50405,"Table 5.4.5U. Private Fixed Investment in Structures by Type"
U50406,"Table 5.4.6U. Private Fixed Investment in Structures by Type, Chained dollars"
U50504,"Table 5.5.4U. Price Indexes for Private Fixed Investment in Equipment  by Type"
U50505,"Table 5.5.5U. Private Fixed Investment in Equipment  by Type"
U50506,"Table 5.5.6U. Private Fixed Investment in Equipment  by Type, Chained dollars"
U50705AM1,"Table 5.7.5AM1. Change in Private Inventories by Industry"
U50705AM2,"Table 5.7.5AM2. Change in Book Value by Industry"
U50705AM3,"Table 5.7.5AM3. Inventory Valuation Adjustment by Industry"
U50705AU1,"Table 5.7.5AU1. Change in Private Inventories by Industry"
U50705AU2,"Table 5.7.5AU2. Change in Book Value by Industry"
U50705AU3,"Table 5.7.5AU3. Inventory Valuation Adjustment by Industry"
U50705BM1,"Table 5.7.5BM1. Change in Private Inventories by Industry"
U50705BM2,"Table 5.7.5BM2. Change in Book Value by Industry"
U50705BM3,"Table 5.7.5BM3. Inventory Valuation Adjustment by Industry"
U50705BU1,"Table 5.7.5BU1. Change in Private Inventories by Industry"
U50705BU2,"Table 5.7.5BU2. Change in Book Value by Industry"
U50705BU3,"Table 5.7.5BU3. Inventory Valuation Adjustment by Industry"
U50706AM,"Table 5.7.6AM. Change in Real Private Inventories by Industry"
U50706AU,"Table 5.7.6AU. Change in Real Private Inventories by Industry"
U50706BM,"Table 5.7.6BM. Change in Real Private Inventories by Industry"
U50706BU,"Table 5.7.6BU. Change in Real Private Inventories by Industry"
U51100,"Table 5.11U. Capital Transfers Paid and Received, by Sector and by Type"
U70204,"Table 7.2.4U. Price Indexes for Motor Vehicle Output"
U70205,"Table 7.2.5U. Motor Vehicle Output"
U70205S,"Table 7.2.5S. Auto and Truck Unit Sales, Production, Inventories, Expenditures, and Price"
U70206,"Table 7.2.6U. Real Motor Vehicle Output, Chained Dollars"
U90100,"Table 9.1U. Reconciliation of Percent Change in the CPI with Percent Change in the PCE Price Index"
U90200,"Table 9.2U. Final Sales of Domestic Computers"
U90300,"Table 9.3U. Gross Domestic Product and Final Sales of Software"
U90400,"Table 9.4U. Software investment and prices"
U90500,"Table 9.5U. Contributions to Percent Change in Real Gross Domestic Product From Final Sales of Computers, Software, and Communications Equipment"
HzRfMortInt,"Mortgage interest paid, owner- and tenant- occupied residential housing"
IntlStyl1,"Gross Domestic Product by International Style Aggregation"
IntlStyl2,"Real Gross Domestic Product by International Style Aggregation"
IntlStyl3,"Price Index for Gross Domestic Product by International Style Aggregation"
IntlStyl4,"Quantity Index for Gross Domestic Product by International Style Aggregation"
RfFwpLvl,"FWPI-1. Fixed-Weighted Price Indexes"
RfFwpPct,"FWPI-2. Percent Change From Preceding Period for Selected Fixed-Weighted Price Index Series"
RfGvDBImpute,"Government Defined Benefit Pension Plan Imputations"
RfHhInstComp,"Households and institutions compensation"
RfTaxAct,"Net effects of Changes in the Tax Treatment of Depreciation on Selected Measures of Corporate Profits"
