TableId,TableTitle
T20405,"Table 2.4.5. Personal Consumption Expenditures by Type of Product"
T20406,"Table 2.4.6. Real Personal Consumption Expenditures by Type of Product, Chained Dollars"
T20503,"Table 2.5.3. Real Personal Consumption Expenditures by Function, Quantity Indexes"
T20504,"Table 2.5.4. Price Indexes for Personal Consumption Expenditures by Function"
T20505,"Table 2.5.5. Personal Consumption Expenditures by Function"
T20506,"Table 2.5.6. Real Personal Consumption Expenditures by Function, Chained Dollars"
T20600,"Table 2.6. Personal Income and Its Disposition, Monthly"
T20700A,"Table 2.7A. Wages and Salaries by Industry, Monthly"
T20700B,"Table 2.7B. Wages and Salaries by Industry, Monthly"
T20801,"Table 2.8.1. Percent Change From Preceding Period in Real Personal Consumption Expenditures by Major Type of Product, Monthly"
T20803,"Table 2.8.3. Real Personal Consumption Expenditures by Major Type of Product, Monthly, Quantity Indexes"
T20804,"Table 2.8.4. Price Indexes for Personal Consumption Expenditures by Major Type of Product, Monthly"
T20805,"Table 2.8.5. Personal Consumption Expenditures by Major Type of Product, Monthly"
T20806,"Table 2.8.6. Real Personal Consumption Expenditures by Major Type of Product, Monthly, Chained Dollars"
T20807,"Table 2.8.7. Percent Change From Preceding Period in Prices for Personal Consumption Expenditures by Major Type of Product, Monthly"
T20900,"Table 2.9. Personal Income and Its Disposition by Households and by Nonprofit Institutions Serving Households"
T30100,"Table 3.1. Government Current Receipts and Expenditures"
T30200,"Table 3.2. Federal Government Current Receipts and Expenditures"
T30300,"Table 3.3. State and Local Government Current Receipts and Expenditures"
T30400,"Table 3.4. Personal Current Tax Receipts"
T30500,"Table 3.5. Taxes on Production and Imports"
T30600,"Table 3.6. Contributions for Government Social Insurance"
T30700,"Table 3.7. Government Current Transfer Receipts"
T30800,"Table 3.8. Current Surplus of Government Enterprises"
T30901,"Table 3.9.1. Percent Change From Preceding Period in Real Government Consumption Expenditures and Gross Investment"
T30902,"Table 3.9.2. Contributions to Percent Change in Real Government Consumption Expenditures and Gross Investment"
T30903,"Table 3.9.3. Real Government Consumption Expenditures and Gross Investment, Quantity Indexes"
T30904,"Table 3.9.4. Price Indexes for Government Consumption Expenditures and Gross Investment"
T30905,"Table 3.9.5. Government Consumption Expenditures and Gross Investment"
T30906,"Table 3.9.6. Real Government Consumption Expenditures and Gross Investment, Chained Dollars"
T31001,"Table 3.10.1. Percent Change From Preceding Period in Real Government Consumption Expenditures and General Government Gross Output"
T31003,"Table 3.10.3. Real Government Consumption Expenditures and General Government Gross Output, Quantity Indexes"
T31004,"Table 3.10.4. Price Indexes for Government Consumption Expenditures and General Government Gross Output"
T31005,"Table 3.10.5. Government Consumption Expenditures and General Government Gross Output"
T31006,"Table 3.10.6. Real Government Consumption Expenditures and General Government Gross Output, Chained Dollars"
